date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-01-01,-2,-7,0.0,8.7,2,97,05:30 PM,06:49 AM,07:31 AM,05:34 PM,-19,-10,-4,-10,20,46,32,0.0,1042,-2,10,29,15,76019
2018-01-02,-2,-4,0.0,7.1,1,100,06:36 PM,07:53 AM,07:31 AM,05:35 PM,-17,-8,-3,-8,13,34,34,0.0,1038,-2,10,129,10,76019
2018-01-03,8,-2,0.0,8.7,2,89,07:45 PM,08:51 AM,07:31 AM,05:35 PM,-11,-1,2,-1,12,1,40,0.0,1031,8,10,305,10,76019
2018-01-04,9,-0,0.0,8.7,1,81,08:52 PM,09:42 AM,07:32 AM,05:36 PM,-6,2,4,2,10,50,49,0.0,1029,9,10,78,6,76019
2018-01-05,17,3,0.0,8.7,3,74,09:58 PM,10:26 AM,07:32 AM,05:37 PM,-1,7,8,7,19,29,52,0.0,1027,17,10,187,11,76019
2018-01-06,15,6,0.0,8.7,3,67,11:01 PM,11:06 AM,07:32 AM,05:38 PM,4,8,10,8,22,30,66,0.0,1025,15,10,169,14,76019
2018-01-07,16,11,0.0,3.8,3,59,No moonrise,11:43 AM,07:32 AM,05:39 PM,10,11,13,11,33,80,84,12.1,1016,16,5,191,22,76019
2018-01-08,14,7,0.0,8.7,4,52,12:01 AM,12:16 PM,07:32 AM,05:39 PM,4,8,10,8,24,6,67,4.4,1020,14,10,342,16,76019
2018-01-09,14,7,0.0,8.7,4,45,12:58 AM,12:50 PM,07:32 AM,05:40 PM,5,8,10,8,16,20,72,0.0,1019,14,10,121,11,76019
2018-01-10,13,8,0.0,3.8,3,38,01:55 AM,01:25 PM,07:32 AM,05:41 PM,8,7,10,7,31,78,87,0.1,1012,13,10,162,23,76019
2018-01-11,14,1,0.0,7.1,2,30,02:50 AM,02:00 PM,07:32 AM,05:42 PM,3,6,10,6,43,34,65,0.0,1012,14,10,260,31,76019
2018-01-12,6,-3,0.0,8.7,2,23,03:44 AM,02:37 PM,07:32 AM,05:43 PM,-12,-4,1,-4,28,1,37,0.0,1028,6,10,253,21,76019
2018-01-13,8,-1,0.0,8.7,2,16,04:37 AM,03:18 PM,07:31 AM,05:44 PM,-11,-1,3,-1,15,7,36,0.0,1036,8,10,159,11,76019
2018-01-14,11,1,0.0,8.7,3,9,05:29 AM,04:02 PM,07:31 AM,05:45 PM,-5,3,5,3,19,6,46,0.0,1033,11,10,158,13,76019
2018-01-15,14,0,0.6,7.1,2,1,06:18 AM,04:49 PM,07:31 AM,05:46 PM,2,4,7,4,25,42,73,1.3,1028,14,8,169,18,76019
2018-01-16,-3,-6,0.0,8.7,2,0,07:06 AM,05:40 PM,07:31 AM,05:46 PM,-16,-11,-4,-11,29,33,38,1.4,1043,-3,8,224,23,76019
2018-01-17,3,-4,0.0,8.7,2,0,07:50 AM,06:32 PM,07:31 AM,05:47 PM,-16,-3,-1,-3,9,0,31,0.0,1041,3,10,92,7,76019
2018-01-18,5,-2,0.0,8.7,2,6,08:30 AM,07:26 PM,07:30 AM,05:48 PM,-11,-2,1,-2,16,4,41,0.0,1033,5,10,181,11,76019
2018-01-19,12,1,0.0,8.7,3,13,09:08 AM,08:21 PM,07:30 AM,05:49 PM,-1,1,5,1,30,35,66,0.0,1022,12,10,178,20,76019
2018-01-20,20,9,0.0,8.7,4,20,09:44 AM,09:17 PM,07:30 AM,05:50 PM,10,12,14,12,36,42,82,0.1,1015,20,10,183,24,76019
2018-01-21,20,15,0.0,3.8,4,28,10:18 AM,10:13 PM,07:29 AM,05:51 PM,14,17,17,17,39,65,83,20.7,1011,20,7,200,23,76019
